Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
0.13468911,385407.58969884,1767.41422912,-270.24370280,1.39815282,-0.22407446,0.81816934
0.13602267,385566.10369779,1732.38610144,-174.73079429,1.35095815,-0.38342479,0.83832426
0.13735623,385718.35730315,1679.21163466,-77.39707735,1.28957703,-0.53878744,0.84974715
0.13868978,385862.75110023,1608.44451727,20.74335593,1.21464368,-0.68853481,0.85231444
0.14002334,385997.76702072,1520.82284762,118.66745617,1.12693473,-0.83109628,0.84599440
0.14135689,386121.98431727,1417.26161802,215.35383718,1.02736146,-0.96497458,0.83084764
0.14269045,386234.09456346,1298.84334214,309.79340413,0.91696062,-1.08876168,0.80702675
0.14402400,386332.91551631,1166.80690959,400.99988006,0.79688394,-1.20115361,0.77477491
0.14535756,386417.40369387,1022.53477915,488.02012126,0.66838627,-1.30096446,0.73442362
0.14669112,386486.66552605,867.53863260,569.94411261,0.53281271,-1.38713908,0.68638941
0.14802467,386539.96695757,703.44363583,645.91453724,0.39158464,-1.45876452,0.63116971
0.14935823,386576.74138924,531.97146387,715.13581663,0.24618490,-1.51508005,0.56933786
0.15069178,386596.59586923,354.92226698,776.88252427,0.09814220,-1.55548547,0.50153719
0.15202534,386599.31545442,174.15576312,830.50707841,-0.05098497,-1.57954796,0.42847445
0.15335889,386584.86569224,-8.42834199,875.44663093,-0.19962489,-1.58700691,0.35091243
0.15469245,386553.39318177,-190.91040076,911.22907209,-0.34620934,-1.57777712,0.26966203
0.15602600,386505.22420650,-371.37111925,937.47808595,-0.48919033,-1.55194999,0.18557370
0.15735956,386440.86144042,-547.91188335,953.91719527,-0.62705676,-1.50979280,0.09952848
0.15869312,386360.97876229,-718.67489438,960.37275173,-0.75835061,-1.45174615,0.01242866
0.16002667,386266.41422463,-881.86289310,956.77583312,-0.88168268,-1.37841941,-0.07481179
0.16136023,386158.16125392,-1035.75825632,943.16302673,-0.99574759,-1.29058432,-0.16127701
0.16269378,386037.35817134,-1178.74125419,919.67608598,-1.09933787,-1.18916688,-0.24605899
0.16402734,385905.27614970,-1309.30726827,886.56046434,-1.19135700,-1.07523745,-0.32826731
0.16536089,385763.30573472,-1426.08277850,844.16273952,-1.27083127,-0.94999928,-0.40703862
