Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-3.86996749,599834.81061570,-279525.86608158,29918.33096096,-1.52487901,0.10478084,-0.08306058
-3.86896724,599703.04231533,-279516.78661504,29911.15256990,-1.52455054,0.10533943,-0.08306434
-3.86796699,599571.30240829,-279507.65887923,29903.97385349,-1.52422192,0.10589790,-0.08306811
-3.86696674,599439.59090756,-279498.48288486,29896.79481162,-1.52389315,0.10645625,-0.08307187
-3.86596649,599307.90782615,-279489.25864267,29889.61544419,-1.52356423,0.10701447,-0.08307564
-3.86496624,599176.25317705,-279479.98616336,29882.43575109,-1.52323516,0.10757257,-0.08307941
-3.86396599,599044.62697322,-279470.66545766,29875.25573220,-1.52290594,0.10813054,-0.08308318
-3.86296574,598913.02922765,-279461.29653630,29868.07538743,-1.52257657,0.10868839,-0.08308695
-3.86196549,598781.45995331,-279451.87941001,29860.89471666,-1.52224705,0.10924612,-0.08309072
-3.86096524,598649.91916317,-279442.41408953,29853.71371979,-1.52191738,0.10980372,-0.08309450
-3.85996499,598518.40687019,-279432.90058559,29846.53239671,-1.52158756,0.11036120,-0.08309827
-3.85896474,598386.92308734,-279423.33890892,29839.35074731,-1.52125759,0.11091855,-0.08310205
-3.85796449,598255.46782756,-279413.72907028,29832.16877148,-1.52092747,0.11147578,-0.08310583
-3.85696424,598124.04110382,-279404.07108040,29824.98646911,-1.52059720,0.11203289,-0.08310961
-3.85596399,597992.64292904,-279394.36495004,29817.80384011,-1.52026678,0.11258987,-0.08311339
-3.85496374,597861.27331618,-279384.61068994,29810.62088435,-1.51993621,0.11314672,-0.08311717
-3.85396349,597729.93227818,-279374.80831085,29803.43760173,-1.51960549,0.11370345,-0.08312095
-3.85296324,597598.61982795,-279364.95782354,29796.25399215,-1.51927462,0.11426006,-0.08312474
-3.85196299,597467.33597845,-279355.05923876,29789.07005549,-1.51894360,0.11481654,-0.08312852
-3.85096274,597336.08074257,-279345.11256727,29781.88579165,-1.51861243,0.11537290,-0.08313231
-3.84996249,597204.85413326,-279335.11781984,29774.70120052,-1.51828111,0.11592913,-0.08313609
-3.84896224,597073.65616341,-279325.07500723,29767.51628199,-1.51794964,0.11648524,-0.08313988
-3.84796199,596942.48684595,-279314.98414022,29760.33103595,-1.51761803,0.11704123,-0.08314367
-3.84696174,596811.34619377,-279304.84522957,29753.14546229,-1.51728626,0.11759708,-0.08314747
-3.84596149,596680.23421978,-279294.65828606,29745.95956091,-1.51695435,0.11815282,-0.08315126
-3.84496124,596549.15093688,-279284.42332048,29738.77333170,-1.51662228,0.11870843,-0.08315505
-3.84396099,596418.09635795,-279274.14034360,29731.58677454,-1.51629007,0.11926391,-0.08315885
-3.84296074,596287.07049588,-279263.80936621,29724.39988934,-1.51595771,0.11981927,-0.08316264
-3.84196049,596156.07336357,-279253.43039908,29717.21267598,-1.51562520,0.12037451,-0.08316644
-3.84096024,596025.10497388,-279243.00345303,29710.02513435,-1.51529253,0.12092962,-0.08317024
-3.83995999,595894.16533969,-279232.52853882,29702.83726434,-1.51495973,0.12148461,-0.08317404
-3.83895974,595763.25447387,-279222.00566727,29695.64906585,-1.51462677,0.12203947,-0.08317784
-3.83795949,595632.37238929,-279211.43484916,29688.46053877,-1.51429366,0.12259420,-0.08318165
-3.83695924,595501.51909881,-279200.81609531,29681.27168299,-1.51396040,0.12314881,-0.08318545
-3.83595899,595370.69461528,-279190.14941651,29674.08249840,-1.51362700,0.12370330,-0.08318926
-3.83495874,595239.89895155,-279179.43482356,29666.89298488,-1.51329344,0.12425766,-0.08319306
-3.83395849,595109.13212048,-279168.67232729,29659.70314235,-1.51295974,0.12481189,-0.08319687
-3.83295824,594978.39413491,-279157.86193849,29652.51297067,-1.51262589,0.12536600,-0.08320068
-3.83195799,594847.68500767,-279147.00366800,29645.32246975,-1.51229189,0.12591999,-0.08320449
-3.83095774,594717.00475159,-279136.09752661,29638.13163948,-1.51195775,0.12647385,-0.08320830
-3.82995749,594586.35337952,-279125.14352516,29630.94047974,-1.51162345,0.12702759,-0.08321211
-3.82895724,594455.73090427,-279114.14167446,29623.74899043,-1.51128900,0.12758119,-0.08321593
-3.82795699,594325.13733866,-279103.09198535,29616.55717144,-1.51095441,0.12813468,-0.08321974
-3.82695674,594194.57269551,-279091.99446865,29609.36502266,-1.51061967,0.12868804,-0.08322356
-3.82595649,594064.03698763,-279080.84913519,29602.17254398,-1.51028478,0.12924127,-0.08322738
-3.82495624,593933.53022783,-279069.65599580,29594.97973530,-1.50994974,0.12979438,-0.08323120
-3.82395599,593803.05242890,-279058.41506133,29587.78659650,-1.50961456,0.13034736,-0.08323502
-3.82295574,593672.60360366,-279047.12634262,29580.59312747,-1.50927922,0.13090022,-0.08323884
-3.82195549,593542.18376488,-279035.78985050,29573.39932810,-1.50894374,0.13145295,-0.08324266
-3.82095524,593411.79292537,-279024.40559582,29566.20519829,-1.50860811,0.13200556,-0.08324649
-3.81995499,593281.43109790,-279012.97358944,29559.01073793,-1.50827234,0.13255804,-0.08325031
-3.81895474,593151.09829525,-279001.49384219,29551.81594690,-1.50793641,0.13311039,-0.08325414
-3.81795449,593020.79453020,-278989.96636494,29544.62082510,-1.50760034,0.13366262,-0.08325797
-3.81695424,592890.51981552,-278978.39116854,29537.42537242,-1.50726412,0.13421473,-0.08326180
-3.81595399,592760.27416398,-278966.76826385,29530.22958874,-1.50692775,0.13476671,-0.08326563
