Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-0.10951825,42736.76402187,3326.27098555,0.00000000,3.50417324,1.63772894,0.00000000
-0.11026838,42963.52342009,3432.34918097,0.00000000,3.49342578,1.63574213,0.00000000
-0.11101850,43189.58987197,3538.29829920,0.00000000,3.48278926,1.63374582,0.00000000
-0.11176863,43414.97050790,3644.11773915,0.00000000,3.47226184,1.63174046,0.00000000
-0.11251875,43639.67233974,3749.80692891,0.00000000,3.46184171,1.62972649,0.00000000
-0.11326888,43863.70226352,3855.36532477,0.00000000,3.45152710,1.62770435,0.00000000
-0.11401900,44087.06706206,3960.79241016,0.00000000,3.44131629,1.62567444,0.00000000
-0.11476913,44309.77340761,4066.08769471,0.00000000,3.43120759,1.62363717,0.00000000
-0.11551925,44531.82786419,4171.25071334,0.00000000,3.42119934,1.62159290,0.00000000
-0.11626938,44753.23689011,4276.28102536,0.00000000,3.41128994,1.61954203,0.00000000
-0.11701950,44974.00684031,4381.17821359,0.00000000,3.40147781,1.61748489,0.00000000
-0.11776963,45194.14396859,4485.94188352,0.00000000,3.39176140,1.61542183,0.00000000
-0.11851975,45413.65442990,4590.57166257,0.00000000,3.38213921,1.61335320,0.00000000
-0.11926988,45632.54428240,4695.06719928,0.00000000,3.37260976,1.61127930,0.00000000
-0.12002000,45850.81948963,4799.42816260,0.00000000,3.36317160,1.60920044,0.00000000
-0.12077013,46068.48592249,4903.65424117,0.00000000,3.35382333,1.60711693,0.00000000
-0.12152025,46285.54936125,5007.74514264,0.00000000,3.34456355,1.60502905,0.00000000
-0.12227038,46502.01549750,5111.70059301,0.00000000,3.33539091,1.60293708,0.00000000
-0.12302050,46717.88993598,5215.52033601,0.00000000,3.32630410,1.60084129,0.00000000
-0.12377063,46933.17819644,5319.20413244,0.00000000,3.31730180,1.59874194,0.00000000
-0.12452075,47147.88571540,5422.75175965,0.00000000,3.30838275,1.59663928,0.00000000
-0.12527088,47362.01784789,5526.16301092,0.00000000,3.29954571,1.59453355,0.00000000
-0.12602100,47575.57986912,5629.43769495,0.00000000,3.29078946,1.59242498,0.00000000
-0.12677113,47788.57697614,5732.57563531,0.00000000,3.28211280,1.59031381,0.00000000
-0.12752125,48001.01428942,5835.57666993,0.00000000,3.27351456,1.58820024,0.00000000
-0.12827138,48212.89685438,5938.44065063,0.00000000,3.26499360,1.58608449,0.00000000
-0.12902150,48424.22964298,6041.16744263,0.00000000,3.25654880,1.58396676,0.00000000
-0.12977163,48635.01755513,6143.75692410,0.00000000,3.24817905,1.58184725,0.00000000
-0.13052175,48845.26542017,6246.20898571,0.00000000,3.23988328,1.57972614,0.00000000
